Timestamp,Streamer,Viewers,Game,Tags
2025-03-12 21:16:27,Pangi,718,Minecraft,"['LifestealSMP', 'MinecraftSMP', 'Minecraft', 'English', 'TheRealm', 'ViewerRewards']"
2025-03-12 21:16:27,Sneegsnag,698,Minecraft,"['English', 'ADHD', 'farts', 'mcc', 'minecraft', 'mcyt', 'moddedminecraft', 'therealm', 'ViewerRewards']"
2025-03-12 21:16:59,Pangi,718,Minecraft,"['LifestealSMP', 'MinecraftSMP', 'Minecraft', 'English', 'TheRealm', 'ViewerRewards']"
2025-03-12 21:16:59,Sneegsnag,698,Minecraft,"['English', 'ADHD', 'farts', 'mcc', 'minecraft', 'mcyt', 'moddedminecraft', 'therealm', 'ViewerRewards']"
2025-03-12 21:17:10,PewDiePie,220,Minecraft,"['Minecraft', 'YouTube', 'AlwaysOn', 'English', 'Rerun', 'ViewerRewards']"
2025-03-12 21:17:36,LoganKalazar,147,Minecraft,"['English', 'Variety', 'gaming', 'onepiece', 'Competitive', 'Him', 'GamerOfTheYear', 'HypixelSkyblock', 'minecraft', 'ViewerRewards']"
2025-03-12 21:17:40,osie,142,Police Simulator: Patrol Officers,"['minecraft', 'zoo', 'friends', 'English']"
2025-03-12 21:17:44,PewDiePie,220,Minecraft,"['Minecraft', 'YouTube', 'AlwaysOn', 'English', 'Rerun', 'ViewerRewards']"
2025-03-12 21:18:10,LoganKalazar,147,Minecraft,"['English', 'Variety', 'gaming', 'onepiece', 'Competitive', 'Him', 'GamerOfTheYear', 'HypixelSkyblock', 'minecraft', 'ViewerRewards']"
2025-03-12 21:18:14,osie,142,Police Simulator: Patrol Officers,"['minecraft', 'zoo', 'friends', 'English']"
2025-03-12 23:56:26,PewDiePie,199,Minecraft,"['Minecraft', 'YouTube', 'AlwaysOn', 'English', 'Rerun', 'ViewerRewards']"
2025-03-12 23:56:49,DrDonutttttt,132,Minecraft,"['English', 'smp', 'DonutSMP', 'drdonut', 'crystalpvp', 'pvp', 'cpvp', 'survival', 'survival', 'minecraft']"
2025-03-12 23:56:56,KaitlinWitcher,124,Just Chatting,"['cozy', 'art', 'painting', 'minecraft', 'English']"
2025-03-12 23:57:20,infume,92,Minecraft,"['English', 'minecraft', 'Speedrun', 'ViewerRewards']"
2025-03-12 23:57:43,Reillyan,78,The Isle,"['English', 'IRL', 'Chatty', 'minecraft', 'Subathon', 'Streamathon', 'Gaming', 'Comedy']"
